TargetWord,text,PosWordSentence,Item,Cognate_De,Unsure_De,Cognate_Fi,Unsure_Fi
car,chris_walked_for_five_minutes_to_reach_the_lot_he_had_parked_his_car_in.,14,38,,,,
in.,chris_walked_for_five_minutes_to_reach_the_lot_he_had_parked_his_car_in.,15,38,x,,,
he,he_took_his_niece_to_play_at_the_park.,1,39,,,,
took,he_took_his_niece_to_play_at_the_park.,2,39,,,,
his,he_took_his_niece_to_play_at_the_park.,3,39,,,,
niece,he_took_his_niece_to_play_at_the_park.,4,39,x,,,
to,he_took_his_niece_to_play_at_the_park.,5,39,,,,
play,he_took_his_niece_to_play_at_the_park.,6,39,,,,
at,he_took_his_niece_to_play_at_the_park.,7,39,,,,
the,he_took_his_niece_to_play_at_the_park.,8,39,,,,
park.,he_took_his_niece_to_play_at_the_park.,9,39,x,,,
larry,larry_was_scared_of_how_powerful_his_brother_had_become.,1,40,,,,
was,larry_was_scared_of_how_powerful_his_brother_had_become.,2,40,x,,,
scared,larry_was_scared_of_how_powerful_his_brother_had_become.,3,40,,,,
of,larry_was_scared_of_how_powerful_his_brother_had_become.,4,40,,,,
how,larry_was_scared_of_how_powerful_his_brother_had_become.,5,40,,,,
powerful,larry_was_scared_of_how_powerful_his_brother_had_become.,6,40,,x,,
his,larry_was_scared_of_how_powerful_his_brother_had_become.,7,40,,,,
brother,larry_was_scared_of_how_powerful_his_brother_had_become.,8,40,x,,,
had,larry_was_scared_of_how_powerful_his_brother_had_become.,9,40,x,,,
become.,larry_was_scared_of_how_powerful_his_brother_had_become.,10,40,,is a false friend,,
they,they_produced_several_propaganda_films_before_the_election.,1,41,,x,,
produced,they_produced_several_propaganda_films_before_the_election.,2,41,x,,,
several,they_produced_several_propaganda_films_before_the_election.,3,41,,,,
propaganda,they_produced_several_propaganda_films_before_the_election.,4,41,x,,x,
films,they_produced_several_propaganda_films_before_the_election.,5,41,x,,x,there is a proper Finnish word
before,they_produced_several_propaganda_films_before_the_election.,6,41,x,,,
the,they_produced_several_propaganda_films_before_the_election.,7,41,,,,
election.,they_produced_several_propaganda_films_before_the_election.,8,41,,,,
she,she_liked_her_own_recipe_of_lasagna_better.,1,42,x,,,
liked,she_liked_her_own_recipe_of_lasagna_better.,2,42,,,,
her,she_liked_her_own_recipe_of_lasagna_better.,3,42,,,,
own,she_liked_her_own_recipe_of_lasagna_better.,4,42,,,,
recipe,she_liked_her_own_recipe_of_lasagna_better.,5,42,x,,,
of,she_liked_her_own_recipe_of_lasagna_better.,6,42,,,,
lasagna,she_liked_her_own_recipe_of_lasagna_better.,7,42,x,,x,
better.,she_liked_her_own_recipe_of_lasagna_better.,8,42,x,,,
they,they_installed_the_satellite_dish_to_the_roof.,1,43,,x,,
installed,they_installed_the_satellite_dish_to_the_roof.,2,43,x,,,
the,they_installed_the_satellite_dish_to_the_roof.,3,43,,,,
satellite,they_installed_the_satellite_dish_to_the_roof.,4,43,x,,x,
dish,they_installed_the_satellite_dish_to_the_roof.,5,43,x,,,
to,they_installed_the_satellite_dish_to_the_roof.,6,43,,,,
the,they_installed_the_satellite_dish_to_the_roof.,7,43,,,,
roof.,they_installed_the_satellite_dish_to_the_roof.,8,43,,,,
she,she_hoped_to_be_a_successful_cartoon_artist_one_day.,1,44,x,,,
hoped,she_hoped_to_be_a_successful_cartoon_artist_one_day.,2,44,x,,,
to,she_hoped_to_be_a_successful_cartoon_artist_one_day.,3,44,,,,
be,she_hoped_to_be_a_successful_cartoon_artist_one_day.,4,44,,,,
a,she_hoped_to_be_a_successful_cartoon_artist_one_day.,5,44,,,,
successful,she_hoped_to_be_a_successful_cartoon_artist_one_day.,6,44,,,,
cartoon,she_hoped_to_be_a_successful_cartoon_artist_one_day.,7,44,x,,,
artist,she_hoped_to_be_a_successful_cartoon_artist_one_day.,8,44,x,,x,
one,she_hoped_to_be_a_successful_cartoon_artist_one_day.,9,44,x,,,
day.,she_hoped_to_be_a_successful_cartoon_artist_one_day.,10,44,,,,
brian,brian_hoped_that_tomorrow_would_be_a_better_day.,1,45,,,,
hoped,brian_hoped_that_tomorrow_would_be_a_better_day.,2,45,x,,,
that,brian_hoped_that_tomorrow_would_be_a_better_day.,3,45,x,,,
tomorrow,brian_hoped_that_tomorrow_would_be_a_better_day.,4,45,,x,,
would,brian_hoped_that_tomorrow_would_be_a_better_day.,5,45,x,,,
be,brian_hoped_that_tomorrow_would_be_a_better_day.,6,45,,,,
a,brian_hoped_that_tomorrow_would_be_a_better_day.,7,45,,,,
better,brian_hoped_that_tomorrow_would_be_a_better_day.,8,45,x,,,
day.,brian_hoped_that_tomorrow_would_be_a_better_day.,9,45,,,,
jeans,jeans_and_sweatpants_are_unacceptable_work_attire.,1,46,x,,,
and,jeans_and_sweatpants_are_unacceptable_work_attire.,2,46,x,,,
sweatpants,jeans_and_sweatpants_are_unacceptable_work_attire.,3,46,,,,
are,jeans_and_sweatpants_are_unacceptable_work_attire.,4,46,,,,
unacceptable,jeans_and_sweatpants_are_unacceptable_work_attire.,5,46,x,,,
work,jeans_and_sweatpants_are_unacceptable_work_attire.,6,46,,,,
attire.,jeans_and_sweatpants_are_unacceptable_work_attire.,7,46,,,,
the,the_old_vacuum_broke_after_fifty_years.,1,47,,,,
old,the_old_vacuum_broke_after_fifty_years.,2,47,x,,,
vacuum,the_old_vacuum_broke_after_fifty_years.,3,47,,,,
broke,the_old_vacuum_broke_after_fifty_years.,4,47,,,,
after,the_old_vacuum_broke_after_fifty_years.,5,47,,,,
fifty,the_old_vacuum_broke_after_fifty_years.,6,47,x,,,
years.,the_old_vacuum_broke_after_fifty_years.,7,47,,x,,
the,the_young_athlete_achieved_his_goal_with_the_help_of_his_coach.,1,48,,,,
young,the_young_athlete_achieved_his_goal_with_the_help_of_his_coach.,2,48,x,,,
athlete,the_young_athlete_achieved_his_goal_with_the_help_of_his_coach.,3,48,x,,,
achieved,the_young_athlete_achieved_his_goal_with_the_help_of_his_coach.,4,48,,,,
his,the_young_athlete_achieved_his_goal_with_the_help_of_his_coach.,5,48,,,,
goal,the_young_athlete_achieved_his_goal_with_the_help_of_his_coach.,6,48,,,,
with,the_young_athlete_achieved_his_goal_with_the_help_of_his_coach.,7,48,,x,,
the,the_young_athlete_achieved_his_goal_with_the_help_of_his_coach.,8,48,,,,
help,the_young_athlete_achieved_his_goal_with_the_help_of_his_coach.,9,48,x,,,
of,the_young_athlete_achieved_his_goal_with_the_help_of_his_coach.,10,48,,,,
his,the_young_athlete_achieved_his_goal_with_the_help_of_his_coach.,11,48,,,,
coach.,the_young_athlete_achieved_his_goal_with_the_help_of_his_coach.,12,48,x,,,
she,she_spotted_him_dancing_across_the_banquet_hall.,1,49,x,,,
spotted,she_spotted_him_dancing_across_the_banquet_hall.,2,49,,,,
him,she_spotted_him_dancing_across_the_banquet_hall.,3,49,,,,
dancing,she_spotted_him_dancing_across_the_banquet_hall.,4,49,x,,,
across,she_spotted_him_dancing_across_the_banquet_hall.,5,49,,,,
the,she_spotted_him_dancing_across_the_banquet_hall.,6,49,,,,
banquet,she_spotted_him_dancing_across_the_banquet_hall.,7,49,x,,x,
hall.,she_spotted_him_dancing_across_the_banquet_hall.,8,49,x,,,
she,she_signed_up_for_the_amateur_level_baking_classes.,1,50,x,,,
signed,she_signed_up_for_the_amateur_level_baking_classes.,2,50,x,,,
up,she_signed_up_for_the_amateur_level_baking_classes.,3,50,,,,
for,she_signed_up_for_the_amateur_level_baking_classes.,4,50,x,,,
the,she_signed_up_for_the_amateur_level_baking_classes.,5,50,,,,
amateur,she_signed_up_for_the_amateur_level_baking_classes.,6,50,x,,x,
level,she_signed_up_for_the_amateur_level_baking_classes.,7,50,x,,,
baking,she_signed_up_for_the_amateur_level_baking_classes.,8,50,x,,,
classes.,she_signed_up_for_the_amateur_level_baking_classes.,9,50,x,,,
hugh,hugh_was_apparently_disgruntled_after_the_fight.,1,51,,,,
was,hugh_was_apparently_disgruntled_after_the_fight.,2,51,x,,,
apparently,hugh_was_apparently_disgruntled_after_the_fight.,3,51,,,,
disgruntled,hugh_was_apparently_disgruntled_after_the_fight.,4,51,,,,
after,hugh_was_apparently_disgruntled_after_the_fight.,5,51,,,,
the,hugh_was_apparently_disgruntled_after_the_fight.,6,51,,,,
fight.,hugh_was_apparently_disgruntled_after_the_fight.,7,51,,,,
he,he_made_sure_to_put_on_his_camouflage_gear_before_going_out.,1,52,,,,
made,he_made_sure_to_put_on_his_camouflage_gear_before_going_out.,2,52,x,,,
sure,he_made_sure_to_put_on_his_camouflage_gear_before_going_out.,3,52,x,,,
to,he_made_sure_to_put_on_his_camouflage_gear_before_going_out.,4,52,,,,
put,he_made_sure_to_put_on_his_camouflage_gear_before_going_out.,5,52,,,,
on,he_made_sure_to_put_on_his_camouflage_gear_before_going_out.,6,52,x,,,
his,he_made_sure_to_put_on_his_camouflage_gear_before_going_out.,7,52,,,,
camouflage,he_made_sure_to_put_on_his_camouflage_gear_before_going_out.,8,52,x,,,
gear,he_made_sure_to_put_on_his_camouflage_gear_before_going_out.,9,52,,,,
before,he_made_sure_to_put_on_his_camouflage_gear_before_going_out.,10,52,x,,,
going,he_made_sure_to_put_on_his_camouflage_gear_before_going_out.,11,52,,x,,
out.,he_made_sure_to_put_on_his_camouflage_gear_before_going_out.,12,52,,x,,
the,the_board_required_a_consensus_to_accept_the_bylaw.,1,53,,,,
board,the_board_required_a_consensus_to_accept_the_bylaw.,2,53,x,,,
required,the_board_required_a_consensus_to_accept_the_bylaw.,3,53,,,,
a,the_board_required_a_consensus_to_accept_the_bylaw.,4,53,,,,
consensus,the_board_required_a_consensus_to_accept_the_bylaw.,5,53,x,,x,
to,the_board_required_a_consensus_to_accept_the_bylaw.,6,53,,,,
accept,the_board_required_a_consensus_to_accept_the_bylaw.,7,53,x,,,
the,the_board_required_a_consensus_to_accept_the_bylaw.,8,53,,,,
bylaw.,the_board_required_a_consensus_to_accept_the_bylaw.,9,53,,,,
claire,claire_had_never_been_more_desperate_for_water_after_the_hike.,1,54,,,,
had,claire_had_never_been_more_desperate_for_water_after_the_hike.,2,54,x,,,
never,claire_had_never_been_more_desperate_for_water_after_the_hike.,3,54,x,,,
been,claire_had_never_been_more_desperate_for_water_after_the_hike.,4,54,,,,
more,claire_had_never_been_more_desperate_for_water_after_the_hike.,5,54,x,,,
desperate,claire_had_never_been_more_desperate_for_water_after_the_hike.,6,54,,,,
for,claire_had_never_been_more_desperate_for_water_after_the_hike.,7,54,x,,,
water,claire_had_never_been_more_desperate_for_water_after_the_hike.,8,54,x,,,
after,claire_had_never_been_more_desperate_for_water_after_the_hike.,9,54,,,,
the,claire_had_never_been_more_desperate_for_water_after_the_hike.,10,54,,,,
hike.,claire_had_never_been_more_desperate_for_water_after_the_hike.,11,54,,,,
she,she_did_not_want_to_disappoint_her_parents_with_her_grades.,1,55,x,,,
did,she_did_not_want_to_disappoint_her_parents_with_her_grades.,2,55,,x,,
not,she_did_not_want_to_disappoint_her_parents_with_her_grades.,3,55,,x,,
want,she_did_not_want_to_disappoint_her_parents_with_her_grades.,4,55,,,,
to,she_did_not_want_to_disappoint_her_parents_with_her_grades.,5,55,,,,
disappoint,she_did_not_want_to_disappoint_her_parents_with_her_grades.,6,55,,,,
her,she_did_not_want_to_disappoint_her_parents_with_her_grades.,7,55,,,,
parents,she_did_not_want_to_disappoint_her_parents_with_her_grades.,8,55,,,,
with,she_did_not_want_to_disappoint_her_parents_with_her_grades.,9,55,,x,,
her,she_did_not_want_to_disappoint_her_parents_with_her_grades.,10,55,,,,
grades.,she_did_not_want_to_disappoint_her_parents_with_her_grades.,11,55,,,,
the,the_soil_was_embedded_in_the_grooves_of_the_shoe.,1,56,,,,
soil,the_soil_was_embedded_in_the_grooves_of_the_shoe.,2,56,,,,
was,the_soil_was_embedded_in_the_grooves_of_the_shoe.,3,56,x,,,
embedded,the_soil_was_embedded_in_the_grooves_of_the_shoe.,4,56,x,,,
in,the_soil_was_embedded_in_the_grooves_of_the_shoe.,5,56,x,,,
the,the_soil_was_embedded_in_the_grooves_of_the_shoe.,6,56,,,,
grooves,the_soil_was_embedded_in_the_grooves_of_the_shoe.,7,56,,,,
of,the_soil_was_embedded_in_the_grooves_of_the_shoe.,8,56,,,,
the,the_soil_was_embedded_in_the_grooves_of_the_shoe.,9,56,,,,
shoe.,the_soil_was_embedded_in_the_grooves_of_the_shoe.,10,56,x,,,
she,she_exchanged_her_foreign_currency_at_the_bank.,1,57,x,,,
exchanged,she_exchanged_her_foreign_currency_at_the_bank.,2,57,,,,
her,she_exchanged_her_foreign_currency_at_the_bank.,3,57,,,,
foreign,she_exchanged_her_foreign_currency_at_the_bank.,4,57,,,,
currency,she_exchanged_her_foreign_currency_at_the_bank.,5,57,,,,
at,she_exchanged_her_foreign_currency_at_the_bank.,6,57,,,,
the,she_exchanged_her_foreign_currency_at_the_bank.,7,57,,,,
bank.,she_exchanged_her_foreign_currency_at_the_bank.,8,57,x,,x,
no,no_one_found_his_actions_humorous_after_his_rude_comments.,1,58,,,,
one,no_one_found_his_actions_humorous_after_his_rude_comments.,2,58,x,,,
found,no_one_found_his_actions_humorous_after_his_rude_comments.,3,58,x,,,
his,no_one_found_his_actions_humorous_after_his_rude_comments.,4,58,,,,
actions,no_one_found_his_actions_humorous_after_his_rude_comments.,5,58,x,,,
humorous,no_one_found_his_actions_humorous_after_his_rude_comments.,6,58,x,,x,
after,no_one_found_his_actions_humorous_after_his_rude_comments.,7,58,,,,
his,no_one_found_his_actions_humorous_after_his_rude_comments.,8,58,,,,
rude,no_one_found_his_actions_humorous_after_his_rude_comments.,9,58,,,,
comments.,no_one_found_his_actions_humorous_after_his_rude_comments.,10,58,x,,x,
they,they_agreed_that_she_was_innocent_of_the_crime.,1,59,,,,
agreed,they_agreed_that_she_was_innocent_of_the_crime.,2,59,,,,
that,they_agreed_that_she_was_innocent_of_the_crime.,3,59,x,,,
she,they_agreed_that_she_was_innocent_of_the_crime.,4,59,x,,,
was,they_agreed_that_she_was_innocent_of_the_crime.,5,59,x,,,
innocent,they_agreed_that_she_was_innocent_of_the_crime.,6,59,,,,
of,they_agreed_that_she_was_innocent_of_the_crime.,7,59,,,,
the,they_agreed_that_she_was_innocent_of_the_crime.,8,59,,,,
crime.,they_agreed_that_she_was_innocent_of_the_crime.,9,59,x,,,
the,the_door_of_the_laboratory_was_left_open_overnight.,1,60,,,,
door,the_door_of_the_laboratory_was_left_open_overnight.,2,60,,x,,
of,the_door_of_the_laboratory_was_left_open_overnight.,3,60,,,,
the,the_door_of_the_laboratory_was_left_open_overnight.,4,60,,,,
laboratory,the_door_of_the_laboratory_was_left_open_overnight.,5,60,x,,x,
was,the_door_of_the_laboratory_was_left_open_overnight.,6,60,x,,,
left,the_door_of_the_laboratory_was_left_open_overnight.,7,60,,,,
open,the_door_of_the_laboratory_was_left_open_overnight.,8,60,x,,,
overnight.,the_door_of_the_laboratory_was_left_open_overnight.,9,60,x,,,
the,the_person_in_charge_of_maintenance_was_not_doing_his_job.,1,61,,,,
person,the_person_in_charge_of_maintenance_was_not_doing_his_job.,2,61,x,,,
in,the_person_in_charge_of_maintenance_was_not_doing_his_job.,3,61,x,,,
charge,the_person_in_charge_of_maintenance_was_not_doing_his_job.,4,61,,,,
of,the_person_in_charge_of_maintenance_was_not_doing_his_job.,5,61,,,,
maintenance,the_person_in_charge_of_maintenance_was_not_doing_his_job.,6,61,,,,
was,the_person_in_charge_of_maintenance_was_not_doing_his_job.,7,61,x,,,
not,the_person_in_charge_of_maintenance_was_not_doing_his_job.,8,61,,x,,
doing,the_person_in_charge_of_maintenance_was_not_doing_his_job.,9,61,,,,
his,the_person_in_charge_of_maintenance_was_not_doing_his_job.,10,61,,,,
job.,the_person_in_charge_of_maintenance_was_not_doing_his_job.,11,61,x,,,
ella,ella_was_excited_to_begin_the_novel_she_had_to_read_for_class.,1,62,,,,
was,ella_was_excited_to_begin_the_novel_she_had_to_read_for_class.,2,62,x,,,
excited,ella_was_excited_to_begin_the_novel_she_had_to_read_for_class.,3,62,,,,
to,ella_was_excited_to_begin_the_novel_she_had_to_read_for_class.,4,62,,,,
begin,ella_was_excited_to_begin_the_novel_she_had_to_read_for_class.,5,62,x,,,
the,ella_was_excited_to_begin_the_novel_she_had_to_read_for_class.,6,62,,,,
novel,ella_was_excited_to_begin_the_novel_she_had_to_read_for_class.,7,62,x,,x,"has a different meaning, i.e., short story"
she,ella_was_excited_to_begin_the_novel_she_had_to_read_for_class.,8,62,x,,,
had,ella_was_excited_to_begin_the_novel_she_had_to_read_for_class.,9,62,x,,,
to,ella_was_excited_to_begin_the_novel_she_had_to_read_for_class.,10,62,,,,
read,ella_was_excited_to_begin_the_novel_she_had_to_read_for_class.,11,62,,,,
for,ella_was_excited_to_begin_the_novel_she_had_to_read_for_class.,12,62,x,,,
class.,ella_was_excited_to_begin_the_novel_she_had_to_read_for_class.,13,62,x,,,
trivia,trivia_night_preceded_karaoke_at_the_restaurant.,1,63,x,,x,
night,trivia_night_preceded_karaoke_at_the_restaurant.,2,63,x,,,
preceded,trivia_night_preceded_karaoke_at_the_restaurant.,3,63,,,,
karaoke,trivia_night_preceded_karaoke_at_the_restaurant.,4,63,x,,x,
at,trivia_night_preceded_karaoke_at_the_restaurant.,5,63,,,,
the,trivia_night_preceded_karaoke_at_the_restaurant.,6,63,,,,
restaurant.,trivia_night_preceded_karaoke_at_the_restaurant.,7,63,x,,,
olly,olly_was_nervous_they_would_publicly_announce_his_mistake.,1,64,,,,
was,olly_was_nervous_they_would_publicly_announce_his_mistake.,2,64,x,,,
nervous,olly_was_nervous_they_would_publicly_announce_his_mistake.,3,64,x,,,
they,olly_was_nervous_they_would_publicly_announce_his_mistake.,4,64,,x,,
would,olly_was_nervous_they_would_publicly_announce_his_mistake.,5,64,x,,,
publicly,olly_was_nervous_they_would_publicly_announce_his_mistake.,6,64,,,,
announce,olly_was_nervous_they_would_publicly_announce_his_mistake.,7,64,,x,,
his,olly_was_nervous_they_would_publicly_announce_his_mistake.,8,64,,,,
mistake.,olly_was_nervous_they_would_publicly_announce_his_mistake.,9,64,,,,
the,the_supply_teacher_kept_referring_to_her_by_the_wrong_name.,1,65,,,,
supply,the_supply_teacher_kept_referring_to_her_by_the_wrong_name.,2,65,,,,
teacher,the_supply_teacher_kept_referring_to_her_by_the_wrong_name.,3,65,,,,
kept,the_supply_teacher_kept_referring_to_her_by_the_wrong_name.,4,65,,,,
referring,the_supply_teacher_kept_referring_to_her_by_the_wrong_name.,5,65,x,,,
to,the_supply_teacher_kept_referring_to_her_by_the_wrong_name.,6,65,,,,
her,the_supply_teacher_kept_referring_to_her_by_the_wrong_name.,7,65,,,,
by,the_supply_teacher_kept_referring_to_her_by_the_wrong_name.,8,65,,,,
the,the_supply_teacher_kept_referring_to_her_by_the_wrong_name.,9,65,,,,
wrong,the_supply_teacher_kept_referring_to_her_by_the_wrong_name.,10,65,,,,
name.,the_supply_teacher_kept_referring_to_her_by_the_wrong_name.,11,65,x,,,
the,the_siblings_were_placed_in_separate_classes_in_the_school.,1,66,,,,
siblings,the_siblings_were_placed_in_separate_classes_in_the_school.,2,66,,,,
were,the_siblings_were_placed_in_separate_classes_in_the_school.,3,66,x,,,
placed,the_siblings_were_placed_in_separate_classes_in_the_school.,4,66,x,,,
in,the_siblings_were_placed_in_separate_classes_in_the_school.,5,66,x,,,
separate,the_siblings_were_placed_in_separate_classes_in_the_school.,6,66,x,,x,"can be used some context, like political movement"
classes,the_siblings_were_placed_in_separate_classes_in_the_school.,7,66,x,,,
in,the_siblings_were_placed_in_separate_classes_in_the_school.,8,66,x,,,
the,the_siblings_were_placed_in_separate_classes_in_the_school.,9,66,,,,
school.,the_siblings_were_placed_in_separate_classes_in_the_school.,10,66,x,,,
she,she_likes_to_surprise_her_friends_for_dinner.,1,67,x,,,
likes,she_likes_to_surprise_her_friends_for_dinner.,2,67,,,,
to,she_likes_to_surprise_her_friends_for_dinner.,3,67,,,,
surprise,she_likes_to_surprise_her_friends_for_dinner.,4,67,,,,
her,she_likes_to_surprise_her_friends_for_dinner.,5,67,,,,
friends,she_likes_to_surprise_her_friends_for_dinner.,6,67,x,,,
for,she_likes_to_surprise_her_friends_for_dinner.,7,67,x,,,
dinner.,she_likes_to_surprise_her_friends_for_dinner.,8,67,x,,,
last,last_night_the_patient_was_transferred_to_the_intensive_care_unit.,1,68,x,,,
night,last_night_the_patient_was_transferred_to_the_intensive_care_unit.,2,68,x,,,
the,last_night_the_patient_was_transferred_to_the_intensive_care_unit.,3,68,,,,
patient,last_night_the_patient_was_transferred_to_the_intensive_care_unit.,4,68,x,,,
was,last_night_the_patient_was_transferred_to_the_intensive_care_unit.,5,68,x,,,
transferred,last_night_the_patient_was_transferred_to_the_intensive_care_unit.,6,68,x,,,
to,last_night_the_patient_was_transferred_to_the_intensive_care_unit.,7,68,,,,
the,last_night_the_patient_was_transferred_to_the_intensive_care_unit.,8,68,,,,
intensive,last_night_the_patient_was_transferred_to_the_intensive_care_unit.,9,68,x,,x,
care,last_night_the_patient_was_transferred_to_the_intensive_care_unit.,10,68,,,,
unit.,last_night_the_patient_was_transferred_to_the_intensive_care_unit.,11,68,,x,,
she,she_stayed_in_the_mall_until_the_security_asked_her_to_leave.,1,69,x,,,
stayed,she_stayed_in_the_mall_until_the_security_asked_her_to_leave.,2,69,,,,
in,she_stayed_in_the_mall_until_the_security_asked_her_to_leave.,3,69,x,,,
the,she_stayed_in_the_mall_until_the_security_asked_her_to_leave.,4,69,,,,
mall,she_stayed_in_the_mall_until_the_security_asked_her_to_leave.,5,69,,,,
until,she_stayed_in_the_mall_until_the_security_asked_her_to_leave.,6,69,,,,
the,she_stayed_in_the_mall_until_the_security_asked_her_to_leave.,7,69,,,,
security,she_stayed_in_the_mall_until_the_security_asked_her_to_leave.,8,69,x,,,
asked,she_stayed_in_the_mall_until_the_security_asked_her_to_leave.,9,69,,,,
her,she_stayed_in_the_mall_until_the_security_asked_her_to_leave.,10,69,,,,
to,she_stayed_in_the_mall_until_the_security_asked_her_to_leave.,11,69,,,,
leave.,she_stayed_in_the_mall_until_the_security_asked_her_to_leave.,12,69,,x,,
the,the_boy_was_scared_of_the_weird_cat_that_lived_next_door.,1,70,,,,
boy,the_boy_was_scared_of_the_weird_cat_that_lived_next_door.,2,70,,,,
was,the_boy_was_scared_of_the_weird_cat_that_lived_next_door.,3,70,x,,,
scared,the_boy_was_scared_of_the_weird_cat_that_lived_next_door.,4,70,,,,
of,the_boy_was_scared_of_the_weird_cat_that_lived_next_door.,5,70,,,,
the,the_boy_was_scared_of_the_weird_cat_that_lived_next_door.,6,70,,,,
weird,the_boy_was_scared_of_the_weird_cat_that_lived_next_door.,7,70,,,,
cat,the_boy_was_scared_of_the_weird_cat_that_lived_next_door.,8,70,x,,,
that,the_boy_was_scared_of_the_weird_cat_that_lived_next_door.,9,70,x,,,
lived,the_boy_was_scared_of_the_weird_cat_that_lived_next_door.,10,70,x,,,
next,the_boy_was_scared_of_the_weird_cat_that_lived_next_door.,11,70,x,,,
door.,the_boy_was_scared_of_the_weird_cat_that_lived_next_door.,12,70,,x,,
